Dates,FTSEPrice,MSCIPrice,VWOBid,VWOAsk,VWOPrice,EMFBid,EMFAsk,EMFVolume,EMFOI,FMEMOI,FMEMVolume,EMFPrice,FMEMBid,FMEMAsk,FMEMTrade,VWOAdjBid,VWOAdjAsk,VWOAdjPrice,EMFAdjBid,EMFAdjAsk,EMFAdjPrice,FMEMAdjBid,FMEMAdjAsk,FMEMAdjPrice,VWOBuy10DRet,VWOSell10DRet,VWOTrade10DRet,EMFBuy10DRet,EMFSell10DRet,EMFTrade10DRet,FMEMBuy10DRet,FMEMSell10DRet,FMEMTrade10DRet,EMFBuyHedge,EMFSellHedge,EMFTradeHedge,FMEMBuyHedge,FMEMSellHedge,FMEMTradeHedge,EMFvsFMEM_BuyHedge,EMFvsFMEM_SellHedge,EMFvsFMEM_TradeHedge,FTSE10DRet,FTSE10PRet
1/22/2015,499.88,983.53,42.02,41.96,42.04,507.05,508.45,#N/A N/A,117,371706,56007,507.05,999,1003.2,1002.6,50424,50352,50448,50705,50845,50705,49950,50160,50130,-672,828,-756,-930,655,-790,-845,305,-720,-102,-17,34,-17,-367,-36,85,-350,-2,-123,0.012990992
1/23/2015,503.35,990.89,41.66,41.58,41.66,502.4,503.75,#N/A N/A,117,375530,30195,503.75,991.9,1024.5,994.3,49992,49896,49992,50240,50375,50375,49595,51225,49715,-1032,1116,-1044,-1155,875,-1010,-2720,795,-1125,-39,-157,-34,-1604,-237,81,-1565,-80,-47,-736,0.001734116
1/26/2015,502.05,988.71,41.71,41.71,41.78,503.2,504.6,28,117,373589,25137,504.6,989.8,994.8,994.9,50052,50052,50136,50320,50460,50460,49490,49740,49745,-1248,1272,-1260,-1400,1095,-1235,-1675,765,-1300,-128,-153,-25,-403,-483,40,-275,-330,-15,-878,0.003744037
1/27/2015,502.35,989.83,41.49,41.57,41.65,501.7,503.1,2,145,366405,26132,503.1,988.8,993.2,988.5,49788,49884,49980,50170,50310,50310,49440,49660,49425,-1164,1140,-1224,-1340,1045,-1185,-1610,845,-1075,-200,-119,-39,-470,-319,-149,-270,-200,-110,-1245,-0.005334403
1/28/2015,500.07,984.65,41,40.89,40.98,493.85,495.35,2,121,365797,23101,495.35,975,992,977.5,49200,49068,49176,49385,49535,49535,48750,49600,48875,-564,720,-612,-760,470,-620,-1620,200,-895,-40,-94,8,-900,-364,283,-860,-270,-275,-1266,-0.005483982
1/29/2015,494.56,973.19,41.04,41.04,41.13,496.1,497.45,6,121,365688,29100,497.45,969,998,978.9,49248,49248,49356,49610,49745,49745,48450,49900,48945,384,-336,336,100,-335,100,-1395,-600,75,-236,49,236,-1731,-216,261,-1495,-167,-25,-6,-0.006831958
1/30/2015,487.96,961.61,39.94,39.95,40.03,483.2,484.35,6,125,361586,33845,484.35,951,955.6,951.5,47928,47940,48036,48320,48435,48435,47550,47780,47575,2196,-2172,2148,1895,-2145,1895,#VALUE!,#VALUE!,2010,-277,51,253,#VALUE!,#VALUE!,138,#VALUE!,#VALUE!,115,1354,-0.00508267
2/2/2015,489.57,963.8,40.65,40.66,40.75,491.7,492.95,#N/A N/A,119,362979,37003,491.7,966.5,969,968.6,48780,48792,48900,49170,49295,49170,48325,48450,48430,#VALUE!,#VALUE!,1284,#VALUE!,#VALUE!,1160,#VALUE!,#VALUE!,1155,#VALUE!,#VALUE!,124,#VALUE!,#VALUE!,129,#VALUE!,#VALUE!,-5,1076,0.014546275
2/3/2015,495.93,976.5,41.37,41.3,41.38,499.1,500.3,47,113,363042,32109,499.1,986.8,987.8,986.7,49644,49560,49656,49910,50030,49910,49340,49390,49335,420,-276,360,145,-405,405,#VALUE!,#VALUE!,140,-131,15,-45,#VALUE!,#VALUE!,220,#VALUE!,#VALUE!,-175,384,0.014155713
2/4/2015,496.79,980.82,41.09,40.95,41.08,494.6,496.05,#N/A N/A,160,362644,24771,496.05,975.5,990,980.9,49308,49140,49296,49460,49605,49605,48775,49500,49045,888,-648,756,620,-945,710,-500,-720,415,-28,-57,46,-1148,168,341,-1120,-111,-295,415,-0.003449651
2/5/2015,498.65,982.21,41.4,41.33,41.41,499.15,500.5,10,76,363793,19953,499.15,986.3,992.9,988.2,49680,49596,49692,49915,50050,49915,49315,49645,49410,276,-144,216,45,-195,195,-630,-180,-180,-99,81,21,-774,96,396,-675,-15,-375,230,0.002341077
2/6/2015,495.99,978.57,40.72,40.73,40.79,492.2,493.65,27,86,366303,28495,493.65,970.1,976,971.8,48864,48876,48948,49220,49365,49365,48505,48800,48590,1248,-1200,1212,925,-1235,925,210,-1385,1000,-275,13,287,-990,-137,212,-715,-124,75,444,2.00E-05
2/9/2015,493.27,972.83,40.67,40.65,40.73,490.6,492.25,12,113,361151,30544,492.25,961.3,974.5,968.9,48804,48780,48876,49060,49225,49225,48065,48725,48445,864,-780,804,695,-900,735,345,-1070,630,-85,-36,69,-435,-206,174,-350,-170,-105,677,-0.001038028
2/10/2015,489.9,966.83,40.6,40.54,40.63,489.7,491.25,79,104,359298,20487,491.25,961,971.9,967,48720,48648,48756,48970,49125,49125,48050,48595,48350,1680,-1560,1572,1445,-1665,1445,1165,-1790,1410,-115,15,127,-395,-110,162,-280,-95,-35,1230,-0.00077933
2/11/2015,487.41,961.21,40.42,40.4,40.47,487.75,489.15,29,161,359505,27690,489.15,959.6,971,959.6,48504,48480,48564,48775,48915,48915,47980,48550,47980,1680,-1584,1632,1435,-1715,1575,1000,-1730,1660,-149,-35,57,-584,-50,-28,-435,-15,29,1620,0.004319654
2/12/2015,494.5,971.19,41.36,41.32,41.41,498.45,499.45,13,105,360862,18824,498.45,970.1,981,980.4,49632,49584,49692,49845,49945,49845,48505,49050,49020,540,-468,504,410,-625,625,530,-1220,620,-58,-85,-121,62,-680,-116,-4,-595,5,958,0.002807646
2/13/2015,501.5,986.65,41.78,41.75,41.82,503.3,504.65,#N/A N/A,92,360567,21354,503.3,#N/A N/A,#N/A N/A,991.7,50136,50100,50184,50330,50465,50330,49000,49495,49585,60,-36,96,-20,-260,140,#VALUE!,#VALUE!,10,-56,-200,-44,#VALUE!,#VALUE!,86,#VALUE!,#VALUE!,-42,149,0.000933262
2/16/2015,500.33,984.09,NA,NA,NA,501.75,503.15,4,86,357853,2538,NA,#N/A N/A,#N/A N/A,991.7,49980,49920,50184,50175,50315,50330,49000,49495,49585,#VALUE!,#VALUE!,-84,#VALUE!,#VALUE!,100,#VALUE!,#VALUE!,-10,#VALUE!,#VALUE!,-184,#VALUE!,#VALUE!,-74,#VALUE!,#VALUE!,110,153,-0.002162355
2/17/2015,499.77,983.12,41.65,41.6,41.68,501.75,503.15,236,90,357514,25934,503.15,#N/A N/A,#N/A N/A,989.5,49980,49920,50016,50175,50315,50315,49000,49495,49475,-288,444,-384,-430,230,-370,#VALUE!,#VALUE!,-310,14,-58,-14,#VALUE!,#VALUE!,-74,#VALUE!,#VALUE!,-60,22,-0.002246566
2/18/2015,500.94,985.01,41.69,41.63,41.71,502.25,504.05,#N/A N/A,123,357103,24834,503.15,980,989.9,989.2,50028,49956,50052,50225,50405,50315,49000,49495,49460,-900,1032,-960,-1125,900,-990,-945,425,-785,-93,0,30,87,-475,-175,6,-475,-145,-682,-0.003726139
2/19/2015,500.95,985.07,41.56,41.52,41.59,500.95,501.1,23,78,358279,13851,501.1,980.3,989.9,984.6,49872,49824,49908,50095,50110,50110,49015,49495,49230,-864,960,-900,-935,810,-825,-1335,190,-635,25,-54,-75,-375,-674,-265,-350,-620,-190,-763,-0.011740235
2/20/2015,500.43,984.42,41.77,41.72,41.8,502.9,504.55,17,101,361220,20630,502.9,980.2,997.8,991.8,50124,50064,50160,50290,50455,50290,49010,49890,49590,-1896,1956,-1896,-2030,1725,-1725,-2080,985,-1680,-74,-171,-171,-124,-911,-216,-50,-740,-45,-1001,-0.00161904
2/23/2015,500.04,983.47,41.37,41.32,41.4,499.2,499.6,2,105,356911,27234,499.6,981.4,982.7,981.5,49644,49584,49680,49920,49960,49960,49070,49135,49075,-1608,1728,-1668,-1765,1595,-1635,-1635,1170,-1355,-37,-13,-33,93,-438,-313,-56,-425,-280,-1499,-0.005878537
2/24/2015,502.2,987.89,41.94,41.9,41.94,505.7,506.35,#N/A N/A,101,351379,36753,505.7,995.2,996.8,995.2,50328,50280,50328,50570,50635,50570,49760,49840,49760,-3299,3432,-3324,-3490,3290,-3290,-3485,2930,-3175,-58,-9,-34,-53,-369,-149,5,-360,-115,-2509,-0.010949798
2/25/2015,503.61,992.8,41.8,41.74,41.83,503.5,504.9,#N/A N/A,96,349986,28661,504.9,991,994.2,992.8,50160,50088,50196,50350,50490,50490,49550,49710,49640,-2736,2856,-2796,-2940,2695,-2835,-2730,2305,-2650,-84,-41,39,126,-431,-146,-42,-390,-107,-2669,-0.016369446
2/26/2015,504.08,993.82,41.77,41.75,41.83,503.55,504.7,72,96,349352,19446,504.7,991.6,994.5,992.8,50124,50100,50196,50355,50470,50470,49580,49725,49640,-2484,2604,-2544,-2665,2425,-2540,-3325,2080,-2395,-61,-59,-4,-721,-404,-149,-660,-345,-145,-2335,-0.000398231
2/27/2015,502.99,990.28,41.8,41.81,41.9,504.45,505.9,19,167,352614,42569,504.7,990,994.4,991.9,50160,50172,50280,50445,50590,50470,49500,49720,49595,-3132,3204,-3240,-3360,3100,-3125,-3320,#VALUE!,-2935,-156,-32,-115,-116,#VALUE!,-305,40,#VALUE!,-190,-2801,0.007988761
3/2/2015,501.86,988.26,41.74,41.69,41.75,502.95,504.3,83,95,352338,19937,504.3,987,994,991.5,50088,50028,50100,50295,50430,50430,49350,49700,49575,-2436,2640,-2544,-2675,2425,-2605,-3100,2060,-2320,-35,-11,61,-460,-376,-224,-425,-365,-163,-2614,-0.011960976
3/3/2015,499.99,986.2,41.36,41.28,41.36,498.85,499.45,36,159,349653,22610,499.45,970.5,985.9,983.3,49632,49536,49632,49885,49945,49945,48525,49295,49165,-1644,1752,-1680,-1830,1665,-1830,-2095,1080,-1750,-78,21,150,-343,-564,70,-265,-543,80,-2134,0.00155796
3/4/2015,494.12,976.27,40.88,40.83,40.91,492.8,493.25,28,129,349957,26685,493.25,971,971.5,973.5,49056,48996,49092,49280,49325,49325,48550,48575,48675,132,-96,204,-70,-310,-70,125,-950,-50,-166,-178,274,29,-818,254,137,-640,20,-1092,0.006159085
3/5/2015,493.32,974.57,40.8,40.76,40.84,491.75,492.85,7,137,351705,21183,492.85,963.2,976.5,971.9,48960,48912,49008,49175,49285,49285,48160,48825,48595,-648,672,-648,-1080,465,-575,-1085,-85,-830,-408,-183,-73,-413,-733,182,-5,-550,-109,-659,0.009505902
3/6/2015,490.42,971.23,40.14,40.14,40.22,484.25,485.65,20,92,352800,45317,485.65,956.2,960.5,958.2,48168,48168,48264,48425,48565,48565,47810,48025,47910,696,-648,648,-10,-255,-15,95,-785,535,-658,441,663,-553,-89,113,105,352,550,-61,0.007305464
3/9/2015,485.05,959.22,39.98,39.93,40.01,481.95,483.25,10,107,342786,35145,483.25,950,958,954.4,47976,47916,48012,48195,48325,48325,47500,47900,47720,1092,-972,1020,380,-645,385,445,-1205,865,-592,447,635,-527,-113,155,65,334,480,733,0.006327944
3/10/2015,477.11,943.73,39.151,39.08,39.17,471.45,472.8,#N/A N/A,126,337666,54546,472.8,927.1,936.6,931.7,46981,46896,47004,47145,47280,47280,46355,46830,46585,2304,-2207,2280,1685,-1960,1685,1955,-2570,2210,-522,344,595,-252,-266,70,270,78,525,1618,0.005246932
3/11/2015,476.92,943.03,39.46,39.42,39.5,475.5,476.55,#N/A N/A,126,326295,62555,476.55,939.6,944.9,939.8,47352,47304,47400,47550,47655,47655,46980,47245,46990,960,-936,948,500,-735,630,715,-1365,990,-436,225,318,-221,-405,-42,215,-180,276,1498,0.001848166
3/12/2015,480.73,948.52,39.68,39.6,39.71,478.05,479.3,153,126,298579,68906,479.3,928,950,944.9,47616,47520,47652,47805,47930,47930,46400,47500,47245,468,-336,384,-55,-185,60,-335,-1410,380,-391,283,324,-671,-942,4,-280,-659,320,468,-0.002817815
3/13/2015,474.98,939.56,39.2,39.13,39.2,472.3,473.45,70,126,255622,79988,473.45,928,#N/A N/A,933.2,47040,46956,47040,47230,47345,47345,46400,47290,46660,1140,-1020,1104,565,-845,645,#VALUE!,-1485,1095,-455,295,459,#VALUE!,-345,9,#VALUE!,-50,450,786,-0.013193739
3/16/2015,475.72,940.57,39.66,39.54,39.63,477.55,478.7,170,129,199639,120936,478.25,932,945.8,945.1,47592,47448,47556,47755,47870,47825,46600,47290,47255,1632,-1404,1524,1050,-1330,1095,1335,-2195,1500,-354,302,429,-69,-563,24,285,-261,405,1351,-0.005294493
3/17/2015,478.65,949.06,39.91,39.9,39.96,481.15,482.2,130,177,299985,146798,481.15,944,948.9,948.3,47892,47880,47952,48115,48220,48115,47200,47445,47415,1164,-1032,1056,595,-840,805,1110,-1600,1205,-437,324,251,78,-436,-149,359,-112,102,1343,0.013234198
3/18/2015,483.2,956.73,40.94,40.96,41.08,492.55,495.9,8,189,364062,113249,492.55,974,990,972.5,49128,49152,49296,49255,49590,49255,48700,49500,48625,552,-564,480,35,-510,370,-510,-740,580,-529,42,110,-1074,-188,-100,-545,-146,10,1435,0.005825481
3/19/2015,486.73,964.97,40.22,40.24,40.3,482.05,487.1,190,111,372018,48180,487.1,954.8,964.9,955.3,48264,48288,48360,48205,48710,48710,47740,48245,47765,2184,-2172,2124,1615,-2275,1615,1405,-2335,2210,-557,-91,509,-767,-151,-86,-210,-60,423,1603,0.011116079
3/20/2015,489.81,969.53,40.72,40.68,40.76,485.55,486.8,25,253,373792,28560,485.5,962.4,971.9,968.9,48864,48816,48912,48555,48680,48550,48120,48595,48445,#VALUE!,#VALUE!,1572,#VALUE!,#VALUE!,1775,#VALUE!,#VALUE!,1530,#VALUE!,#VALUE!,-203,#VALUE!,#VALUE!,42,#VALUE!,#VALUE!,161,1317,0.010471309
3/23/2015,492.38,975.38,40.84,40.79,40.86,487.05,488.4,8,152,370903,29611,487.1,966.9,974.1,971.7,49008,48948,49032,48705,48840,48710,48345,48705,48585,2136,-2040,2040,2145,-2415,2275,1710,-2545,2095,105,-279,-235,-330,-409,-55,-225,-130,180,1663,0.012431379
3/24/2015,493.29,978.25,41,40.99,41.07,489.65,491.05,#N/A N/A,135,371179,19233,489.65,975.7,978.5,975.9,49200,49188,49284,48965,49105,48965,48785,48925,48795,1776,-1704,1764,1800,-1990,1990,1400,-1805,1585,96,-214,-226,-304,-29,179,-208,185,47,1620,0.000943007
3/25/2015,491.9,976.15,40.22,40.24,40.29,481.55,482.85,#N/A N/A,127,372695,32048,482.85,959.2,966.9,959.6,48264,48288,48348,48155,48285,48285,47960,48345,47980,3708,-3720,3720,3625,-3950,3625,2710,-3535,3435,-95,-242,95,-1010,173,285,-915,69,-190,2596,0.016428193
3/26/2015,485.41,962.46,39.99,39.96,40.03,478.75,479.9,10,127,373726,50726,479.9,943.3,956.2,952.5,47988,47952,48036,47875,47990,47990,47165,47810,47625,4716,-4680,4668,4610,-4910,4610,4165,-4935,4350,-70,-194,58,-515,-219,318,-445,-25,-260,3744,0.009635809
3/27/2015,482.84,958.11,40.08,40.05,40.12,479.1,480.75,#N/A N/A,137,370588,36924,479.9,949.2,957.7,955.1,48096,48060,48144,47910,48075,47990,47460,47885,47755,4500,-4428,4476,4390,-4645,4565,4085,-5035,4255,-38,-145,-89,-343,-535,221,-305,-390,-132,4245,0.00466673
3/30/2015,489.23,968.91,40.9,40.83,40.9,489.2,490.85,2,137,370854,32886,489.2,972.5,975.9,975.1,49080,48996,49080,48920,49085,48920,48625,48795,48755,3384,-3264,3360,3230,-3485,3485,2805,-3620,2935,-34,-101,-125,-459,-236,425,-425,-135,-300,4020,0.007881361
3/31/2015,492.08,974.57,40.87,40.77,40.84,488.15,489.55,5,139,368042,46275,489.2,971.1,976,972.4,49044,48924,49008,48815,48955,48920,48555,48800,48620,3600,-3492,3624,3540,-3745,3575,#VALUE!,#VALUE!,3320,48,-145,49,#VALUE!,#VALUE!,304,#VALUE!,#VALUE!,-255,3377,-0.006761989
4/1/2015,497.55,982.93,41.42,41.41,41.48,496.25,497.65,5,142,370783,51558,496.25,979.8,988.8,984.1,49704,49692,49776,49625,49765,49625,48990,49440,49205,3144,-3096,3120,2965,-3160,3105,2450,-3500,3095,-131,-16,15,-646,-356,25,-515,-340,-10,2840,0.000190168
4/2/2015,502.76,992.86,42.06,42.03,42.07,503.25,504.8,#N/A N/A,145,363408,33913,503.25,993,1001.5,999.5,50472,50436,50484,50325,50480,50325,49650,50075,49975,2880,-2844,2928,2920,-3125,3075,2180,-3590,2770,76,-245,-147,-664,-710,158,-588,-465,-11,3053,0.013955699
4/3/2015,502.98,994.32,NA,NA,NA,509.85,511.2,74,135,362747,33913,NA,#N/A N/A,#N/A N/A,999.5,51084,51048,50484,50985,51120,50325,50415,50890,49975,#VALUE!,#VALUE!,1848,#VALUE!,#VALUE!,1905,#VALUE!,#VALUE!,1825,#VALUE!,#VALUE!,-57,#VALUE!,#VALUE!,23,#VALUE!,#VALUE!,34,2420,-0.011457181
4/6/2015,509.01,1005.86,42.57,42.54,42.56,509.85,511.2,81,189,362641,26667,509.85,1008.3,1017.8,1013.6,51084,51048,51072,50985,51120,50985,50415,50890,50680,1008,-828,948,765,-1055,1055,755,-1530,1060,-63,-47,-107,-73,-522,-112,-10,-475,-5,1222,-0.011286468
4/7/2015,509.49,1006.26,42.47,42.42,42.54,509.05,509.55,#N/A N/A,211,370486,27340,509.55,1006.5,1011.8,1007.6,50964,50904,51048,50905,50955,50955,50325,50590,50380,1560,-1464,1476,1430,-1530,1430,1370,-1925,1630,-34,30,46,-94,-365,-154,-60,-335,-108,1691,0.009918846
4/8/2015,517.86,1021.05,43.33,43.32,43.39,519.1,521.05,14,61,366630,34182,519.1,1021.1,1029.9,1028.3,51996,51984,52068,51910,52105,51910,51055,51495,51415,1092,-984,1008,815,-1160,1010,980,-1570,1190,-169,-68,-2,-4,-478,-182,165,-410,-180,1154,0.005699088
4/9/2015,522.85,1028.63,43.89,43.89,43.92,526,527.85,12,67,363735,32032,526,1039.5,1042,1039.5,52668,52668,52704,52600,52785,52600,51975,52100,51975,672,-624,696,480,-715,665,915,-1150,1030,-144,-43,31,291,-478,-334,-147,-435,-303,888,0.004401209
4/10/2015,525.29,1034.59,43.8,43.77,43.85,524.65,525.55,13,67,369448,38082,525.55,1039.4,1049.9,1040.2,52560,52524,52620,52465,52555,52555,51970,52495,52010,1080,-984,1020,970,-1110,970,505,-1205,1140,-14,-30,50,-479,-125,-120,-465,-95,-70,1056,0.007748293
4/13/2015,529.43,1041.46,43.65,43.62,43.7,523.15,524.05,#N/A N/A,59,368832,21728,524.05,1032,1044.9,1033.8,52380,52344,52440,52315,52405,52405,51600,52245,51690,1488,-1476,1512,1325,-1570,1325,770,-1860,1620,-151,-82,187,-706,-372,-108,-555,-290,79,901,0.004833442
4/14/2015,525.85,1036.77,43.77,43.78,43.86,524.95,525.6,#N/A N/A,56,369443,26415,524.95,#N/A N/A,#N/A N/A,1038.8,52524,52536,52632,52495,52560,52495,51890,52490,51940,1428,-1464,1452,1335,-1465,1400,#VALUE!,#VALUE!,1505,-129,-37,52,#VALUE!,#VALUE!,-53,#VALUE!,#VALUE!,-1,1422,0.003027264
4/15/2015,525.95,1036.87,44.03,44,44.08,527.3,527.85,12,56,367339,25089,527.3,1037.8,1049.8,1046,52836,52800,52896,52730,52785,52730,51890,52490,52300,588,-456,492,385,-645,645,-130,-905,465,-71,-57,-153,-586,-317,27,-515,-260,126,993,-0.007758254
4/16/2015,533.29,1052.25,44.43,44.43,44.51,534,534.5,#N/A N/A,68,372173,26684,534,1045.1,1064.8,1054.9,53316,53316,53412,53400,53450,53400,52255,53240,52745,-636,648,-636,-890,705,-705,-1335,155,-810,-242,69,69,-687,-481,174,-445,-412,-105,-328,-0.010953945
4/17/2015,527.18,1042.68,43.52,43.48,43.61,521.1,522.3,40,63,375450,42030,522.3,1028,1050,1036,52224,52176,52332,52110,52230,52230,51400,52500,51800,816,-756,660,600,-875,600,-595,-885,490,-156,-59,60,-1351,-69,170,-1195,-10,-110,175,-0.002037697
4/20/2015,521.23,1033.77,43.38,43.26,43.35,518.85,520.4,25,103,376784,18623,520.4,1032.9,1038.9,1034.8,52056,51912,52020,51885,52040,52040,51645,51945,51740,1344,-1152,1236,1040,-1290,1040,410,-1210,820,-112,54,196,-742,134,416,-630,-80,-220,947,0.003346379
4/21/2015,526.4,1042.21,43.72,43.69,43.77,523.85,524.35,2,93,375772,25377,523.85,1039.2,1045,1040.2,52464,52428,52524,52385,52435,52385,51960,52250,52010,276,-240,276,135,-310,310,-250,-585,5,-105,-34,-34,-490,-309,271,-385,-275,-237,423,-0.000131901
4/22/2015,529.4,1047.61,44.23,44.15,44.23,529.2,530.7,10,89,378019,25204,529.2,1049.5,1052.5,1052.1,53076,52980,53076,52920,53070,52920,52475,52625,52605,-972,1092,-1044,-1145,900,-900,-1270,580,-1245,-53,-72,-144,-178,-392,201,-125,-320,-57,-305,-0.008065884
4/23/2015,531.73,1053.91,44.45,44.41,44.5,532.65,533.15,15,99,382178,18044,532.65,1060.3,1062.5,1060.1,53340,53292,53400,53265,53315,53265,53015,53125,53005,-1356,1464,-1416,-1510,1350,-1350,-2155,1620,-1755,-46,-6,-66,-691,264,339,-645,-258,-273,-1397,-0.016319939
4/24/2015,535.85,1060.5,44.67,44.62,44.7,535.25,535.75,52,104,379674,29822,535.25,1060,1063.5,1063,53604,53544,53640,53525,53575,53525,53000,53175,53150,-816,1020,-960,-930,830,-880,-1985,1065,-1195,90,14,-80,-965,249,235,-875,-235,-155,-1090,0.013886743
4/27/2015,538.44,1065.62,44.86,44.88,44.96,537.3,538.85,34,127,375482,21931,537.3,1060.3,1069.2,1066.2,53832,53856,53952,53730,53885,53730,53015,53460,53310,-1632,1668,-1752,-1845,1545,-1545,-2140,1585,-1890,-177,-87,-207,-472,-47,138,-295,40,69,-1228,0.002304981
4/28/2015,540.07,1067.01,44.97,44.99,45.07,538.95,539.6,#N/A N/A,107,376266,23109,538.95,1068,1071.9,1068.9,53964,53988,54084,53895,53960,53895,53400,53595,53445,-1908,1884,-1920,-2005,1785,-1785,-2595,1405,-2160,-121,-123,-135,-711,-503,240,-590,-380,-105,-1801,-0.007792307
4/29/2015,535.88,1059.51,44.49,44.41,44.49,531.7,533.75,#N/A N/A,87,375372,20762,533.75,1047.2,1055.9,1055.3,53388,53292,53388,53170,53375,53375,52360,52795,52765,-1080,1224,-1140,-1290,1025,-1265,#VALUE!,#VALUE!,-1375,-66,-55,125,#VALUE!,#VALUE!,235,#VALUE!,#VALUE!,-110,-1073,0.00591886
4/30/2015,530.01,1047.78,43.9,43.89,43.98,525.6,526.95,8,87,374223,51763,526.95,1038.1,1042,1038.7,52680,52668,52776,52560,52695,52695,51905,52100,51935,36,-24,24,-135,-75,-135,-1095,-140,-50,-159,-39,159,-1119,-104,74,-960,-65,85,-452,0.000647434
5/1/2015,528.93,1045.99,44.16,44.15,44.16,528.3,529.85,8,93,377235,23964,528.3,1038.1,1045.7,1045.8,52992,52980,52992,52830,52985,52830,51905,52285,52290,264,-180,276,20,-250,175,#VALUE!,#VALUE!,15,-160,14,101,#VALUE!,#VALUE!,261,#VALUE!,#VALUE!,-160,172,0.009819407
5/4/2015,530.7,1048.2,44.38,44.34,44.38,530.8,531.75,2,93,374527,15767,530.8,1047.1,1057.1,1051.2,53256,53208,53256,53080,53175,53080,52355,52855,52560,-480,552,-456,#VALUE!,#VALUE!,-75,-1180,425,-830,#VALUE!,#VALUE!,-381,-628,-55,374,#VALUE!,#VALUE!,7,-129,-0.002336757
5/5/2015,530.63,1047.93,43.92,43.92,44,525.7,526.95,#N/A N/A,93,376518,28071,526.95,1040,1050.9,1040.3,52704,52704,52800,52570,52695,52695,52000,52545,52015,144,-108,108,-25,-170,45,-795,-55,-155,-133,-26,63,-903,89,263,-770,-63,-200,-125,-5.67E-05
5/6/2015,526.35,1040.44,43.34,43.32,43.36,519.25,520.2,#N/A N/A,93,373096,27015,520.2,1027.1,1037.9,1027.2,52008,51984,52032,51925,52020,52020,51355,51895,51360,792,-684,792,560,-740,645,-390,-480,475,-124,52,147,-1074,312,317,-950,-260,-170,17,-0.005402546
5/7/2015,517.76,1024.91,43.28,43.23,43.32,518.05,519.15,#N/A N/A,93,375323,31173,519.15,1019.4,1027.9,1025,51936,51876,51984,51805,51915,51915,50970,51395,51250,744,-672,672,510,-760,650,260,-970,385,-162,-16,22,-412,-226,287,-250,-210,-265,771,-0.001994226
5/8/2015,524.95,1034.94,43.94,43.82,43.9,526.45,526.95,#N/A N/A,93,377460,28598,526.45,1023.8,1038.7,1039.1,52728,52584,52680,52645,52695,52645,51190,51935,51955,168,24,132,-105,-35,-55,-630,-580,-155,-81,133,187,-606,-412,287,-525,-279,-100,199,0.002797496
5/11/2015,526.16,1036.02,43.52,43.47,43.5,520.4,521.85,#N/A N/A,87,377523,13805,521.85,1026.4,1028.6,1028.4,52224,52164,52200,52040,52185,52185,51320,51430,51420,#VALUE!,#VALUE!,612,#VALUE!,#VALUE!,380,#VALUE!,#VALUE!,380,#VALUE!,#VALUE!,232,#VALUE!,#VALUE!,232,#VALUE!,#VALUE!,0,-45,-0.010020116
5/12/2015,522.06,1029.03,43.4,43.4,43.47,519.55,521.1,#N/A N/A,87,380066,17533,521.1,1020,1039.9,1025.7,52080,52080,52164,51955,52110,52110,51000,51995,51285,-108,60,-48,-260,20,-175,-995,-240,-275,-200,-88,127,-935,-348,227,-735,-260,-100,-40,-0.004006441
5/13/2015,525.15,1033.88,43.51,43.47,43.54,520.85,521.45,#N/A N/A,87,381189,24927,521.1,#N/A N/A,#N/A N/A,1027.8,52212,52164,52248,52085,52145,52110,51005,52045,51390,-60,108,-108,-140,10,-105,#VALUE!,#VALUE!,-365,-32,-50,-3,#VALUE!,#VALUE!,257,#VALUE!,#VALUE!,-254,-558,-0.011201571
5/14/2015,525.49,1035.8,43.92,43.92,44,525.6,526.35,#N/A N/A,87,380826,17016,525.6,1020.1,1040.9,1037.7,52704,52704,52800,52560,52635,52560,51005,52045,51885,-1332,1308,-1332,-1425,1240,-1240,-1645,405,-1545,-117,-92,-92,-337,-927,213,-220,-835,-121,-1174,-0.005080292
5/15/2015,530.65,1043.4,44.37,44.31,44.39,530.05,530.8,#N/A N/A,87,377175,21593,530.05,#N/A N/A,#N/A N/A,1046.1,53244,53172,53268,53005,53080,53005,51675,51930,52305,-2364,2448,-2376,-2310,2000,-2000,#VALUE!,#VALUE!,-2460,138,-364,-376,#VALUE!,#VALUE!,84,#VALUE!,#VALUE!,292,-1951,0.000449975
5/18/2015,529.41,1040.95,43.94,43.92,44,526.7,527.4,#N/A N/A,87,380481,21439,NA,1033.5,1038.6,1034.6,52728,52704,52800,52670,52740,53005,51675,51930,51730,-1932,1992,-2040,#VALUE!,#VALUE!,-2285,-2425,1825,-2000,#VALUE!,#VALUE!,245,-433,-107,-40,#VALUE!,#VALUE!,205,-1804,-0.001447093
5/19/2015,529.38,1040.89,44.04,44.01,44.09,526.7,527.4,#N/A N/A,87,383281,28019,527.4,1035,1041.1,1037.2,52848,52812,52908,52670,52740,52740,51750,52055,51860,-1860,1968,-1932,-2855,1565,-2020,-2120,1705,-1925,-887,-295,88,-152,-155,-7,735,140,81,-1875,-0.005483422
5/20/2015,526.52,1036.1,43.98,43.91,44.02,525.8,526.65,#N/A N/A,87,383079,23800,526.65,1030.1,1036.7,1036.7,52776,52692,52824,52580,52665,52665,51505,51835,51835,-1992,2028,-2004,-2175,1865,-1950,-2210,1540,-2170,-147,-127,-54,-182,-452,166,-35,-325,-112,-1869,-0.008546167
